10-1075,P35498-P14867,1BYY-5OSA,DB00273,Identity:36/1589(2.3%),N/A,N/A,N/A,N/A,N/A,N/A
169-585,P48169-P18505,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
169-589,P48169-P47870,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
169-991,P48169-P47869,1VRY-5O8F,DB00842,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
169-992,P48169-P47869,1VRY-5O8F,DB00842,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
17-920,P13631-P28702,1DSZ-5HJP,DB00926,Identity:7/1078(0.6%),N/A,N/A,N/A,N/A,N/A,N/A
170-169,Q16445-P48169,1VRY-1VRY,DB00842,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170-589,Q16445-P47870,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
170-992,Q16445-P47869,1VRY-5O8F,DB00842,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
171-169,P48169-P48169,1VRY-1VRY,DB00842,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171-170,P48169-Q16445,1VRY-1VRY,DB00842,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171-585,P48169-P18505,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
171-588,P48169-P18505,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
171-589,P48169-P47870,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
171-590,P48169-P28472,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
171-991,P48169-P47869,1VRY-5O8F,DB00842,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
172-1055,Q16445-P14867,1VRY-5OSA,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
172-1056,Q16445-P14867,1VRY-5OSA,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
172-169,Q16445-P48169,1VRY-1VRY,DB00842,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172-170,Q16445-Q16445,1VRY-1VRY,DB00842,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172-171,Q16445-P48169,1VRY-1VRY,DB00842,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172-585,Q16445-P18505,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
172-586,Q16445-P28472,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
172-589,Q16445-P47870,1VRY-4COF,DB00842,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
173-176,P48169-Q16445,1VRY-1VRY,DB00312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
174-1058,Q16445-P14867,1VRY-5OSA,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
174-173,Q16445-P48169,1VRY-1VRY,DB00312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
174-175,Q16445-P48169,1VRY-1VRY,DB00312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
175-1058,P48169-P14867,1VRY-5OSA,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
175-173,P48169-P48169,1VRY-1VRY,DB00312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
175-176,P48169-Q16445,1VRY-1VRY,DB00312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
175-993,P48169-P47869,1VRY-5O8F,DB00312,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
176-1058,Q16445-P14867,1VRY-5OSA,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
176-174,Q16445-Q16445,1VRY-1VRY,DB00312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
177-1062,P48169-P14867,1VRY-5OSA,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
177-178,P48169-Q16445,1VRY-1VRY,DB00794,N/A,N/A,N/A,N/A,N/A,N/A,N/A
177-179,P48169-P48169,1VRY-1VRY,DB00794,N/A,N/A,N/A,N/A,N/A,N/A,N/A
178-1061,Q16445-P14867,1VRY-5OSA,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
178-179,Q16445-P48169,1VRY-1VRY,DB00794,N/A,N/A,N/A,N/A,N/A,N/A,N/A
178-997,Q16445-P47869,1VRY-5O8F,DB00794,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
178-998,Q16445-P47869,1VRY-5O8F,DB00794,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
179-1062,P48169-P14867,1VRY-5OSA,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
179-180,P48169-Q16445,1VRY-1VRY,DB00794,N/A,N/A,N/A,N/A,N/A,N/A,N/A
179-997,P48169-P47869,1VRY-5O8F,DB00794,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
179-998,P48169-P47869,1VRY-5O8F,DB00794,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
18-921,P13631-P28702,1DSZ-5HJP,DB00799,Identity:7/1078(0.6%),N/A,N/A,N/A,N/A,N/A,N/A
180-1062,Q16445-P14867,1VRY-5OSA,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
180-177,Q16445-P48169,1VRY-1VRY,DB00794,N/A,N/A,N/A,N/A,N/A,N/A,N/A
180-178,Q16445-Q16445,1VRY-1VRY,DB00794,N/A,N/A,N/A,N/A,N/A,N/A,N/A
180-997,Q16445-P47869,1VRY-5O8F,DB00794,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
181-182,P48169-Q16445,1VRY-1VRY,DB00418,N/A,N/A,N/A,N/A,N/A,N/A,N/A
183-1004,P48169-P47869,1VRY-5O8F,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
183-1070,P48169-P14867,1VRY-5OSA,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
183-185,P48169-P48169,1VRY-1VRY,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
184-1003,Q16445-P47869,1VRY-5O8F,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
184-183,Q16445-P48169,1VRY-1VRY,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
184-185,Q16445-P48169,1VRY-1VRY,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
184-186,Q16445-Q16445,1VRY-1VRY,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
185-1003,P48169-P47869,1VRY-5O8F,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
185-1070,P48169-P14867,1VRY-5OSA,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
185-186,P48169-Q16445,1VRY-1VRY,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
186-1069,Q16445-P14867,1VRY-5OSA,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
186-183,Q16445-P48169,1VRY-1VRY,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
187-1006,P48169-P47869,1VRY-5O8F,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
187-1071,P48169-P14867,1VRY-5OSA,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
187-188,P48169-Q16445,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
187-190,P48169-Q16445,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
187-605,P48169-P18505,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
187-606,P48169-P28472,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
187-610,P48169-P28472,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
188-1005,Q16445-P47869,1VRY-5O8F,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
188-1072,Q16445-P14867,1VRY-5OSA,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
188-605,Q16445-P18505,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
188-606,Q16445-P28472,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
188-607,Q16445-P47870,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
188-609,Q16445-P47870,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
189-1006,P48169-P47869,1VRY-5O8F,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
189-187,P48169-P48169,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
189-188,P48169-Q16445,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
189-605,P48169-P18505,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
189-610,P48169-P28472,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
19-274,P13631-P13631,1DSZ-2LBD,DB00755,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19-415,P13631-P28702,1DSZ-3FC6,DB00755,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190-1006,Q16445-P47869,1VRY-5O8F,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
190-1072,Q16445-P14867,1VRY-5OSA,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
190-188,Q16445-Q16445,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190-189,Q16445-P48169,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190-605,Q16445-P18505,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
190-606,Q16445-P28472,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
190-608,Q16445-P18505,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
191-1007,P48169-P47869,1VRY-5O8F,DB00599,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
191-192,P48169-Q16445,1VRY-1VRY,DB00599,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192-1007,Q16445-P47869,1VRY-5O8F,DB00599,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
193-1008,P48169-P47869,1VRY-5O8F,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
193-1078,P48169-P14867,1VRY-5OSA,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
193-195,P48169-P48169,1VRY-1VRY,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
193-612,P48169-P28472,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
193-613,P48169-P47870,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
193-614,P48169-P18505,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
193-616,P48169-P28472,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
194-1008,Q16445-P47869,1VRY-5O8F,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
194-1009,Q16445-P47869,1VRY-5O8F,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
194-1078,Q16445-P14867,1VRY-5OSA,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
194-193,Q16445-P48169,1VRY-1VRY,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
194-195,Q16445-P48169,1VRY-1VRY,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
194-611,Q16445-P18505,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
194-616,Q16445-P28472,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
195-1009,P48169-P47869,1VRY-5O8F,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
195-1077,P48169-P14867,1VRY-5OSA,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
195-196,P48169-Q16445,1VRY-1VRY,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
195-611,P48169-P18505,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
195-613,P48169-P47870,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
195-615,P48169-P47870,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
195-616,P48169-P28472,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
196-1009,Q16445-P47869,1VRY-5O8F,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
196-1077,Q16445-P14867,1VRY-5OSA,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
196-1078,Q16445-P14867,1VRY-5OSA,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
196-193,Q16445-P48169,1VRY-1VRY,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
196-194,Q16445-Q16445,1VRY-1VRY,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
196-611,Q16445-P18505,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
196-612,Q16445-P28472,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
196-613,Q16445-P47870,1VRY-4COF,DB00897,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
197-229,P54284-Q01668,1VYU-2BE6,DB01388,Identity:79/745(10.6%),N/A,N/A,N/A,N/A,N/A,N/A
197-620,P54284-O60840,1VYU-4DEY,DB01388,Identity:227/554(41.0%),N/A,N/A,N/A,N/A,N/A,N/A
198-232,P54284-Q01668,1VYU-2BE6,DB00393,Identity:79/745(10.6%),N/A,N/A,N/A,N/A,N/A,N/A
198-428,P54284-Q13698,1VYU-3G43,DB00393,Identity:101/856(11.8%),N/A,N/A,N/A,N/A,N/A,N/A
198-894,P54284-Q02641,1VYU-5GJV,DB00393,Identity:269/2719(9.9%),N/A,N/A,N/A,N/A,N/A,N/A
199-235,P54284-Q01668,1VYU-2BE6,DB00661,Identity:79/745(10.6%),N/A,N/A,N/A,N/A,N/A,N/A
199-898,P54284-Q02641,1VYU-5GJV,DB00661,Identity:269/2719(9.9%),N/A,N/A,N/A,N/A,N/A,N/A
2-669,P11387-P11388,1A31-4FM9,DB04967,Identity:91/809(11.2%),N/A,N/A,N/A,N/A,N/A,N/A
20-264,P06478-P04293,1E2K-2GV9,DB00299,Identity:167/2113(7.9%),N/A,N/A,N/A,N/A,N/A,N/A
200-440,Q9L888-P0A6J8,1XFC-3I12,DB00260,Identity:167/1528(10.9%),N/A,N/A,N/A,N/A,N/A,N/A
202-201,P00533-P04626,1XKK-1XKK,DB01259,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203-204,Q07343-Q08499,1XLX-1XOM,DB03849,N/A,0.3,3.82,0,N/A,N/A,N/A
205-363,Q75Y35-Q7CRA4,1XP4-2Y2M,DB01163,Identity:132/1411(9.4%),N/A,N/A,N/A,N/A,N/A,N/A
207-246,Q75Y35-Q8DR59,1XP4-2C5W,DB08795,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
207-343,Q75Y35-P0A3M6,1XP4-2WAF,DB08795,Identity:156/1434(10.9%),N/A,N/A,N/A,N/A,N/A,N/A
207-365,Q75Y35-Q7CRA4,1XP4-2Y2M,DB08795,Identity:132/1411(9.4%),N/A,N/A,N/A,N/A,N/A,N/A
208-344,Q75Y35-P0A3M6,1XP4-2WAF,DB01140,Identity:156/1434(10.9%),N/A,N/A,N/A,N/A,N/A,N/A
208-366,Q75Y35-Q7CRA4,1XP4-2Y2M,DB01140,Identity:132/1411(9.4%),N/A,N/A,N/A,N/A,N/A,N/A
209-221,Q75Y35-P15555,1XP4-1YQS,DB00456,Identity:77/1407(5.5%),N/A,N/A,N/A,N/A,N/A,N/A
210-460,Q75Y35-P0AEB2,1XP4-3MZE,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
211-521,Q75Y35-P02919,1XP4-3VMA,DB00438,N/A,N/A,N/A,N/A,N/A,N/A,N/A
213-371,Q75Y35-Q7CRA4,1XP4-2Y2M,DB03313,Identity:132/1411(9.4%),N/A,N/A,N/A,N/A,N/A,N/A
216-257,Q75Y35-Q8DR59,1XP4-2C5W,DB00739,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
216-353,Q75Y35-P0A3M6,1XP4-2WAF,DB00739,Identity:156/1434(10.9%),N/A,N/A,N/A,N/A,N/A,N/A
216-373,Q75Y35-Q7CRA4,1XP4-2Y2M,DB00739,Identity:132/1411(9.4%),N/A,N/A,N/A,N/A,N/A,N/A
217-130,Q75Y35-Q53707,1XP4-1VQQ,DB01603,Identity:274/1692(16.2%),N/A,N/A,N/A,N/A,N/A,N/A
218-375,Q75Y35-Q7CRA4,1XP4-2Y2M,DB00607,Identity:132/1411(9.4%),N/A,N/A,N/A,N/A,N/A,N/A
219-260,Q75Y35-Q8DR59,1XP4-2C5W,DB00713,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
219-356,Q75Y35-P0A3M6,1XP4-2WAF,DB00713,Identity:156/1434(10.9%),N/A,N/A,N/A,N/A,N/A,N/A
22-865,P23219-P35354,1EQG-5F19,DB01050,N/A,N/A,N/A,N/A,N/A,N/A,N/A
220-357,Q75Y35-P0A3M6,1XP4-2WAF,DB00319,Identity:156/1434(10.9%),N/A,N/A,N/A,N/A,N/A,N/A
224-3,P06818-P27907,2AEP-1A4G,DB00558,N/A,N/A,N/A,N/A,N/A,N/A,N/A
224-79,P06818-P27907,2AEP-1NSC,DB00558,Identity:130/1072(12.1%),N/A,N/A,N/A,N/A,N/A,N/A
225-888,Q01668-P54289,2BE6-5GJV,DB00381,Identity:106/2758(3.8%),N/A,N/A,N/A,N/A,N/A,N/A
226-497,Q01668-P35367,2BE6-3RZE,DB00568,Identity:44/764(5.8%),N/A,N/A,N/A,N/A,N/A,N/A
226-619,Q01668-O60840,2BE6-4DEY,DB00568,Identity:45/602(7.5%),N/A,N/A,N/A,N/A,N/A,N/A
227-424,Q01668-Q13698,2BE6-3G43,DB01023,Identity:440/664(66.3%),N/A,N/A,N/A,N/A,N/A,N/A
227-889,Q01668-P54289,2BE6-5GJV,DB01023,Identity:106/2758(3.8%),N/A,N/A,N/A,N/A,N/A,N/A
229-891,Q01668-Q02641,2BE6-5GJV,DB01388,Identity:106/2758(3.8%),N/A,N/A,N/A,N/A,N/A,N/A
23-337,P0C0X1-P0C0X2,1EYE-2VP8,DB00250,N/A,N/A,N/A,N/A,N/A,N/A,N/A
232-428,Q01668-Q13698,2BE6-3G43,DB00393,Identity:440/664(66.3%),N/A,N/A,N/A,N/A,N/A,N/A
232-621,Q01668-O60840,2BE6-4DEY,DB00393,Identity:45/602(7.5%),N/A,N/A,N/A,N/A,N/A,N/A
233-429,Q01668-Q13698,2BE6-3G43,DB00401,Identity:440/664(66.3%),N/A,N/A,N/A,N/A,N/A,N/A
233-895,Q01668-P54289,2BE6-5GJV,DB00401,Identity:106/2758(3.8%),N/A,N/A,N/A,N/A,N/A,N/A
234-430,Q01668-Q13698,2BE6-3G43,DB01054,Identity:440/664(66.3%),N/A,N/A,N/A,N/A,N/A,N/A
235-622,Q01668-O60840,2BE6-4DEY,DB00661,Identity:45/602(7.5%),N/A,N/A,N/A,N/A,N/A,N/A
235-898,Q01668-Q02641,2BE6-5GJV,DB00661,Identity:106/2758(3.8%),N/A,N/A,N/A,N/A,N/A,N/A
236-114,P21397-P27338,2BXR-1S3E,DB01363,Identity:663/993(66.8%),N/A,N/A,N/A,N/A,N/A,N/A
236-301,P21397-P07550,2BXR-2R4R,DB01363,Identity:108/1154(9.4%),N/A,N/A,N/A,N/A,N/A,N/A
236-45,P21397-P18089,2BXR-1HLL,DB01363,Identity:6/907(0.7%),N/A,N/A,N/A,N/A,N/A,N/A
236-929,P21397-P31645,2BXR-5I6X,DB01363,Identity:42/1703(2.5%),N/A,N/A,N/A,N/A,N/A,N/A
238-50,P21397-P18089,2BXR-1HLL,DB01577,Identity:6/907(0.7%),N/A,N/A,N/A,N/A,N/A,N/A
238-931,P21397-P31645,2BXR-5I6X,DB01577,Identity:42/1703(2.5%),N/A,N/A,N/A,N/A,N/A,N/A
239-686,P21397-P41595,2BXR-4IB4,DB00805,Identity:36/1156(3.1%),N/A,N/A,N/A,N/A,N/A,N/A
24-223,P06149-O14521,1F0X-1ZOY,DB00756,N/A,N/A,N/A,N/A,N/A,N/A,N/A
242-119,P21397-P27338,2BXR-1S3E,DB00191,Identity:663/993(66.8%),N/A,N/A,N/A,N/A,N/A,N/A
243-120,P21397-P27338,2BXR-1S3E,DB00752,Identity:663/993(66.8%),N/A,N/A,N/A,N/A,N/A,N/A
244-205,Q8DR59-Q75Y35,2C5W-1XP4,DB01163,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
244-341,Q8DR59-P0A3M6,2C5W-2WAF,DB01163,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
245-206,Q8DR59-Q75Y35,2C5W-1XP4,DB00415,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
245-342,Q8DR59-P0A3M6,2C5W-2WAF,DB00415,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
247-208,Q8DR59-Q75Y35,2C5W-1XP4,DB01140,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
247-366,Q8DR59-Q7CRA4,2C5W-2Y2M,DB01140,Identity:101/531(19.0%),N/A,N/A,N/A,N/A,N/A,N/A
248-209,Q8DR59-Q75Y35,2C5W-1XP4,DB00456,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
248-221,Q8DR59-P15555,2C5W-1YQS,DB00456,Identity:78/449(17.4%),N/A,N/A,N/A,N/A,N/A,N/A
248-345,Q8DR59-P0A3M6,2C5W-2WAF,DB00456,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
248-367,Q8DR59-Q7CRA4,2C5W-2Y2M,DB00456,Identity:101/531(19.0%),N/A,N/A,N/A,N/A,N/A,N/A
249-368,Q8DR59-Q7CRA4,2C5W-2Y2M,DB00493,Identity:101/531(19.0%),N/A,N/A,N/A,N/A,N/A,N/A
25-864,P23219-P35354,1FE2-5F19,DB00154,N/A,N/A,N/A,N/A,N/A,N/A,N/A
250-210,Q8DR59-Q75Y35,2C5W-1XP4,DB01331,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
250-443,Q8DR59-P08506,2C5W-3ITA,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
250-460,Q8DR59-P0AEB2,2C5W-3MZE,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
251-348,Q04707-P0A3M5,2C5W-2WAF,DB01150,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
252-211,Q8DR59-Q75Y35,2C5W-1XP4,DB00438,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
253-212,Q8DR59-Q75Y35,2C5W-1XP4,DB00567,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
253-349,Q8DR59-P0A3M6,2C5W-2WAF,DB00567,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
254-213,Q8DR59-Q75Y35,2C5W-1XP4,DB03313,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
254-350,Q8DR59-P0A3M6,2C5W-2WAF,DB03313,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
254-371,Q8DR59-Q7CRA4,2C5W-2Y2M,DB03313,Identity:101/531(19.0%),N/A,N/A,N/A,N/A,N/A,N/A
255-214,Q8DR59-Q75Y35,2C5W-1XP4,DB01000,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
256-215,Q8DR59-Q75Y35,2C5W-1XP4,DB00485,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
257-353,Q8DR59-P0A3M6,2C5W-2WAF,DB00739,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
258-130,Q8DR59-Q53707,2C5W-1VQQ,DB01603,Identity:95/1345(7.1%),N/A,N/A,N/A,N/A,N/A,N/A
258-217,Q8DR59-Q75Y35,2C5W-1XP4,DB01603,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
258-374,Q8DR59-Q7CRA4,2C5W-2Y2M,DB01603,Identity:101/531(19.0%),N/A,N/A,N/A,N/A,N/A,N/A
259-218,Q8DR59-Q75Y35,2C5W-1XP4,DB00607,Identity:101/1388(7.3%),N/A,N/A,N/A,N/A,N/A,N/A
259-355,Q8DR59-P0A3M6,2C5W-2WAF,DB00607,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
259-375,Q8DR59-Q7CRA4,2C5W-2Y2M,DB00607,Identity:101/531(19.0%),N/A,N/A,N/A,N/A,N/A,N/A
26-25,P35354-P23219,1FE2-1FE2,DB00154,N/A,N/A,N/A,N/A,N/A,N/A,N/A
260-356,Q8DR59-P0A3M6,2C5W-2WAF,DB00713,Identity:95/691(13.7%),N/A,N/A,N/A,N/A,N/A,N/A
260-376,Q8DR59-Q7CRA4,2C5W-2Y2M,DB00713,Identity:101/531(19.0%),N/A,N/A,N/A,N/A,N/A,N/A
261-457,P42685-P09619,2DLY-3MJG,DB08896,Identity:166/2554(6.5%),N/A,N/A,N/A,N/A,N/A,N/A
263-433,P00519-P07947,2GQG-3G5D,DB01254,Identity:243/564(43.1%),0.3,2.82,6.23E-15,0.55112,-7.055,0.706
265-21,P04293-Q9QNF7,2GV9-1E2K,DB00577,Identity:167/2113(7.9%),N/A,N/A,N/A,N/A,N/A,N/A
266-694,P40261-Q15274,2IIP-4KWW,DB00627,N/A,N/A,N/A,N/A,N/A,N/A,N/A
